Name,Jobs,Machines,AverageMachines,MaxDissimilarity,Beta-Value,C
2c_Hurink_rdata11,15,5, 2,225.0000,0.4000,90.0000
2c_Hurink_rdata12,15,5, 2,225.0000,0.4000,90.0000
2c_Hurink_rdata13,15,5, 2,225.0000,0.4000,90.0000
2c_Hurink_rdata24,15,10, 2,450.0000,0.2000,90.0000
2c_Hurink_rdata25,15,10, 2,450.0000,0.2000,90.0000
2c_Hurink_rdata26,15,10, 2,450.0000,0.2000,90.0000
2c_Hurink_rdata27,15,10, 2,450.0000,0.2000,90.0000
2c_Hurink_rdata28,15,10, 2,450.0000,0.2000,90.0000
2c_Hurink_rdata39,15,15, 2,675.0000,0.1333,90.0000
2c_Hurink_rdata40,15,15, 2,675.0000,0.1333,90.0000
2c_Hurink_rdata41,15,15, 2,675.0000,0.1333,90.0000
2c_Hurink_rdata42,15,15, 2,675.0000,0.1333,90.0000
2c_Hurink_rdata43,15,15, 2,675.0000,0.1333,90.0000
2d_Hurink_vdata49,11,5, 2.50,192.5000,0.5000,96.2500
1_Brandimarte5,15,4, 1.5,265.0000,0.3750,99.3750
2d_Hurink_vdata51,12,5, 2.50,210.0000,0.5000,105.0000
0_BehnkeGeiger1,10,20, 6.08,354.0000,0.3040,107.6160
2d_Hurink_vdata55,7,7, 3.50,220.5000,0.5000,110.2500
0_BehnkeGeiger5,10,20, 6.16,358.0000,0.3080,110.2640
0_BehnkeGeiger3,10,20, 6.24,362.0000,0.3120,112.9440
2c_Hurink_rdata3,20,5, 2,300.0000,0.4000,120.0000
2c_Hurink_rdata14,20,5, 2,300.0000,0.4000,120.0000
2c_Hurink_rdata15,20,5, 2,300.0000,0.4000,120.0000
2c_Hurink_rdata16,20,5, 2,300.0000,0.4000,120.0000
2c_Hurink_rdata17,20,5, 2,300.0000,0.4000,120.0000
2c_Hurink_rdata18,20,5, 2,300.0000,0.4000,120.0000
2c_Hurink_rdata29,20,10, 2,600.0000,0.2000,120.0000
2c_Hurink_rdata30,20,10, 2,600.0000,0.2000,120.0000
2c_Hurink_rdata31,20,10, 2,600.0000,0.2000,120.0000
2c_Hurink_rdata32,20,10, 2,600.0000,0.2000,120.0000
2c_Hurink_rdata33,20,10, 2,600.0000,0.2000,120.0000
2c_Hurink_rdata46,20,15, 2,900.0000,0.1333,120.0000
2c_Hurink_rdata47,20,15, 2,900.0000,0.1333,120.0000
2c_Hurink_rdata48,20,15, 2,900.0000,0.1333,120.0000
2d_Hurink_vdata53,10,6, 3.00,240.0000,0.5000,120.0000
0_BehnkeGeiger4,10,20, 6.64,382.0000,0.3320,126.8240
0_BehnkeGeiger2,10,20, 6.72,386.0000,0.3360,129.6960
2d_Hurink_vdata9,15,5, 2.50,262.5000,0.5000,131.2500
2d_Hurink_vdata10,15,5, 2.50,262.5000,0.5000,131.2500
2d_Hurink_vdata11,15,5, 2.50,262.5000,0.5000,131.2500
2d_Hurink_vdata12,15,5, 2.50,262.5000,0.5000,131.2500
2d_Hurink_vdata13,15,5, 2.50,262.5000,0.5000,131.2500
1_Brandimarte11,30,5, 1.50837988826816,449.0000,0.3017,135.4525
1_Brandimarte2,10,6, 3.5,261.0000,0.5833,152.2500
2d_Hurink_vdata56,8,8, 4.00,320.0000,0.5000,160.0000
0_BehnkeGeiger24,10,40, 11.28,614.0000,0.2820,173.1480
2d_Hurink_vdata3,20,5, 2.50,350.0000,0.5000,175.0000
2d_Hurink_vdata14,20,5, 2.50,350.0000,0.5000,175.0000
